Plots,Elevation_MASL,Latitude,Longitude,Slope..Degrees.,Temp,Ppt,Eto,WB,Aspect,Crown_cover....,Forest_Types,Scientific_me,Family,DBH_cm,Height_m,Stem_Type,Status
16,1672,27.085553,90.374162,13,16.54,2184.37,885.16,2349.66,180,50,Cool broadleaved forest (1500-3000),Lithocarpus fenestratus,Fagaceae,35.2,18.5,Clean,Live
16,1672,27.085553,90.374162,13,16.54,2184.37,885.16,2349.66,180,50,Cool broadleaved forest (1500-3000),Callicarpa arborea,Lamiaceae,37.6,22.3,Clean,Live
16,1672,27.085553,90.374162,13,16.54,2184.37,885.16,2349.66,180,50,Cool broadleaved forest (1500-3000),Acardium occidentale,Acardiaceae,39.5,22.8,Clean,Live
17,1638,27.086141,90.371696,30,16.73,1875.39,889.53,1964.83,225,60,Cool broadleaved forest (1500-3000),Carallia brachiata,Rhizophoraceae,17.8,14.8,Clean,Live
17,1638,27.086141,90.371696,30,16.73,1875.39,889.53,1964.83,225,60,Cool broadleaved forest (1500-3000),Boehmeria spp.,Urticaceae,34.6,15.3,Clean,Live
17,1638,27.086141,90.371696,30,16.73,1875.39,889.53,1964.83,225,60,Cool broadleaved forest (1500-3000),Castanopsis hystrix,Fagaceae,43.2,18.3,Twisted,Live
17,1638,27.086141,90.371696,30,16.73,1875.39,889.53,1964.83,225,60,Cool broadleaved forest (1500-3000),Pentapax spp.,Lauraceae,34.6,15.3,Clean,Live
17,1638,27.086141,90.371696,30,16.73,1875.39,889.53,1964.83,225,60,Cool broadleaved forest (1500-3000),Castanopsis hystrix,Fagaceae,12,9,Clean,Live
17,1638,27.086141,90.371696,30,16.73,1875.39,889.53,1964.83,225,60,Cool broadleaved forest (1500-3000),Carallia brachiata,Rhizophoraceae,12.4,8.1,Clean,Live
17,1638,27.086141,90.371696,30,16.73,1875.39,889.53,1964.83,225,60,Cool broadleaved forest (1500-3000),Neolamarckia cadamba,Bignoniaceae,29.3,22,Clean,Live
17,1638,27.086141,90.371696,30,16.73,1875.39,889.53,1964.83,225,60,Cool broadleaved forest (1500-3000),Oroxylum indicum,Araliaceae,24.5,12.8,Clean,Live
17,1638,27.086141,90.371696,30,16.73,1875.39,889.53,1964.83,225,60,Cool broadleaved forest (1500-3000),Celtis austrils,Canbaceae,35.7,16.2,Clean,Live
17,1638,27.086141,90.371696,30,16.73,1875.39,889.53,1964.83,225,60,Cool broadleaved forest (1500-3000),Phoebe attenuata,Piceae,12.3,7.8,Clean,Live
17,1638,27.086141,90.371696,30,16.73,1875.39,889.53,1964.83,225,60,Cool broadleaved forest (1500-3000),Bauhinia purpurea,Fabaceae,29.3,22,Clean,Live
17,1638,27.086141,90.371696,30,16.73,1875.39,889.53,1964.83,225,60,Cool broadleaved forest (1500-3000),Bombax ceiba,Malvaceae,12.3,7.8,Clean,Live
17,1638,27.086141,90.371696,30,16.73,1875.39,889.53,1964.83,225,60,Cool broadleaved forest (1500-3000),Bischofia javanica,Phyllanthaceae,24.5,12.8,Clean,Live
18,1621,27.085516,90.368604,15,16.82,2148.59,891.53,2307.01,225,40,Cool broadleaved forest (1500-3000),Acer oblongum,Aceraceae,45.7,20.5,Clean,Live
18,1621,27.085516,90.368604,15,16.82,2148.59,891.53,2307.01,225,40,Cool broadleaved forest (1500-3000),Alnus nepalensis,Betulaceae,54,28.2,Clean,Live
18,1621,27.085516,90.368604,15,16.82,2148.59,891.53,2307.01,225,40,Cool broadleaved forest (1500-3000),Macaranga denticulata,Euphorbiaceae,32,25,Clean,Live
18,1621,27.085516,90.368604,15,16.82,2148.59,891.53,2307.01,225,40,Cool broadleaved forest (1500-3000),Acer oblongum,Aceraceae,32,19,Clean,Live
18,1621,27.085516,90.368604,15,16.82,2148.59,891.53,2307.01,225,40,Cool broadleaved forest (1500-3000),Morus laevigata,Moraceae,32,21.5,Clean,Live
18,1621,27.085516,90.368604,15,16.82,2148.59,891.53,2307.01,225,40,Cool broadleaved forest (1500-3000),Acer oblongum,Aceraceae,45.6,22,Clean,Live
19,1621,27.085516,90.368604,15,16.82,2148.59,891.53,2307.01,225,41,Cool broadleaved forest (1500-3000),Alnus nepalensis,Betulaceae,29.2,19,Clean,Live
20,1621,27.085516,90.368604,15,16.82,2148.59,891.53,2307.01,225,42,Cool broadleaved forest (1500-3000),Choerospondias axiliaris,Acardiaceae,15.4,12.3,Clean,Live
21,1621,27.085516,90.368604,15,16.82,2148.59,891.53,2307.01,225,43,Cool broadleaved forest (1500-3000),Macaranga denticulata,Euphorbiaceae,22.8,18.2,Clean,Live
22,1203,27.04862,90.334395,25,19.04,2197.41,935.99,2214.65,45,30,Warm broad leaved forest (500-1500),Saurauja nepaulensis,Actinidiaceae,13,9.3,Clean,Live
22,1203,27.04862,90.334395,25,19.04,2197.41,935.99,2214.65,45,30,Warm broad leaved forest (500-1500),Schima wallichii,Theaceae,17,16.5,Clean,Live
22,1203,27.04862,90.334395,25,19.04,2197.41,935.99,2214.65,45,30,Warm broad leaved forest (500-1500),Ficus lacor,Moraceae,17,8.4,Clean,Live
22,1203,27.04862,90.334395,25,19.04,2197.41,935.99,2214.65,45,30,Warm broad leaved forest (500-1500),Ficus roxburgii,Moraceae,27,6,Twisted,Live
