stratum,sites,richness,sd
trees,98,164.76,6.92254405270318
trees,99,165.46,6.7784864673375855
trees,100,166.16,6.729581913259748
trees,101,166.82,6.862840946618671
trees,102,167.43,6.81242922305927
trees,103,168.22,6.662998991111702
trees,104,168.85,6.808157614289647
trees,105,169.51,6.775617307595663
trees,106,170.17,6.728583683349593
trees,107,170.87,6.579206608395848
trees,108,171.52,6.726218863672234
trees,109,172.3,6.487750695804293
trees,110,172.79,6.498321461591587
trees,111,173.37,6.309612676005725
trees,112,173.76,6.350248543612806
trees,113,174.46,6.217310471172362
trees,114,175.19,6.33204931162483
trees,115,175.75,6.413960468297952
trees,116,176.25,6.2496464546469195
trees,117,176.81,6.198232071170037
trees,118,177.42,6.171259550889465
trees,119,178.07,6.007159028688985
trees,120,178.7,5.989047242148526
trees,121,179.37,6.0044680333595215
trees,122,180.01,5.928010891632465
trees,123,180.66,5.801810932890704
trees,124,181.13,5.68473945104458
trees,125,181.75,5.621702175812532
trees,126,182.13,5.587965062109241
trees,127,182.78,5.64895628153618
trees,128,183.23,5.636918350024993
trees,129,183.85,5.636058153989499
trees,130,184.54,5.786469763442329
trees,131,185.23,5.720519507382475
trees,132,185.67,5.604931090143083
trees,133,186.27,5.553877524356794
trees,134,186.76,5.556177742937235
trees,135,187.32,5.365207782132445
trees,136,187.88,5.274830649778093
trees,137,188.49,5.360715691703183
trees,138,189.06,5.2451420525582675
trees,139,189.61,5.285572128660504
trees,140,190.23,5.331164331674004
trees,141,190.81,5.3289660148924565
trees,142,191.31,5.426636512461825
trees,143,191.96,5.428916219019346
trees,144,192.4,5.523137740908741
trees,145,192.78,5.557013949991852
trees,146,193.31,5.426636512461825
trees,147,193.72,5.515963976120456
trees,148,194.14,5.577769729158344
trees,149,194.72,5.692596645262737
trees,150,195.26,5.6579612275558455
trees,151,195.7,5.655961367433391
trees,152,196.26,5.577045305843798
trees,153,196.72,5.506800203825129
trees,154,197.13,5.407916008552236
trees,155,197.46,5.424262739085033
trees,156,197.89,5.300838508093686
trees,157,198.24,5.251493294119475
trees,158,198.73,5.300762285566181
trees,159,199.34,5.280457586538531
trees,160,199.87,5.3497002653693535
trees,161,200.21,5.178227534981483
trees,162,200.7,5.213618530523516
trees,163,201.06,5.1714445161713165
trees,164,201.43,5.263280461092798
trees,165,201.84,5.374312265139822
trees,166,202.26,5.2965016088857455
trees,167,202.71,5.236420629600053
trees,168,203.22,5.094223307935284
trees,169,203.73,4.9743889528810925
trees,170,204.19,4.8859621634460355
trees,171,204.6,4.905161165609756
trees,172,205.02,4.771506337339679
trees,173,205.32,4.7030615431639715
trees,174,205.73,4.76700570949348
trees,175,206.03,4.676299581696812
trees,176,206.52,4.551567606524996
trees,177,206.86,4.552765837123272
trees,178,207.23,4.514522022419327
trees,179,207.67,4.532831968710693
trees,180,208.1,4.5869820187574355
trees,181,208.37,4.493890353029378
trees,182,208.92,4.491698290775276
trees,183,209.2,4.442676416010256
trees,184,209.56,4.269506630594086
trees,185,209.96,4.204182621527223
trees,186,210.36,4.1059700314286145
trees,187,210.65,4.026114250688368
trees,188,210.98,4.004996878900157
trees,189,211.25,4.0034707164881045
trees,190,211.57,3.8931563886731633
trees,191,212.02,3.964437876517638
trees,192,212.33,3.766023007488044
trees,193,212.66,3.777177611268857
